,loss,f1_score,precision,recall,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/loss_fn,config/lr,config/momentum,config/optim_type,config/weight decay,config/num_layers,config/hidden_size,config/num_fc_layers,config/activation_type,logdir
119,0.05641265958547592,0.4111518592627146,0.305095818815331,0.6302294197031039,1709347508,,False,100,ce9bc_00119,2024-03-01_18-45-08,7.677066087722778,842.6435723304749,7521,bling-bling,192.168.0.125,842.6435723304749,100,Focal,0.1,0.1083291061412145,2,1e-05,6,128,1,2,ce9bc_00119
87,0.05565255507826805,0.3971786847710639,0.3047871060861198,0.5699505173189384,1709345178,,False,100,ce9bc_00087,2024-03-01_18-06-18,9.442120552062988,928.3109719753265,7528,bling-bling,192.168.0.125,928.3109719753265,100,Focal,0.01,0.12787393679968742,2,1e-05,2,128,1,2,ce9bc_00087
83,0.6280523538589478,0.3806636471655675,0.3042541733979537,0.5083220872694557,1709344537,,False,100,ce9bc_00083,2024-03-01_17-55-37,9.08138370513916,920.2057316303253,7529,bling-bling,192.168.0.125,920.2057316303253,100,CrossEntropy,0.01,0.013648111706918705,2,1e-05,2,128,1,2,ce9bc_00083
128,0.6355400085449219,0.381016046419752,0.3031108747673491,0.5128205128205128,1709348526,,False,100,ce9bc_00128,2024-03-01_19-02-06,10.030368328094482,1018.2426424026489,7521,bling-bling,192.168.0.125,1018.2426424026489,100,CrossEntropy,0.01,0.00238347397570695,2,1e-05,4,16,1,2,ce9bc_00128
135,0.056584496051073074,0.39944860842476654,0.30283325592196936,0.5865946918578497,1709349442,,False,100,ce9bc_00135,2024-03-01_19-17-22,7.971171855926514,973.5570547580719,7535,bling-bling,192.168.0.125,973.5570547580719,100,Focal,0.01,0.0653173834721303,2,1e-05,4,128,1,2,ce9bc_00135
129,0.634375810623169,0.3877121982587964,0.30262493690055525,0.5393612235717499,1709348767,,False,100,ce9bc_00129,2024-03-01_19-06-07,9.859593629837036,1008.0739274024963,7537,bling-bling,192.168.0.125,1008.0739274024963,100,CrossEntropy,0.01,0.10263871321293559,2,1e-05,4,64,1,2,ce9bc_00129
140,0.05448157712817192,0.39182120537457926,0.302496328928047,0.5560053981106613,1709349474,,False,100,ce9bc_00140,2024-03-01_19-17-54,4.178970813751221,947.8207490444183,7521,bling-bling,192.168.0.125,947.8207490444183,100,Focal,0.1,0.19252701169348013,2,1e-05,4,16,1,2,ce9bc_00140
112,0.6284521818161011,0.37026696816745197,0.3024515393386545,0.4772829509671615,1709347484,,False,100,ce9bc_00112,2024-03-01_18-44-44,10.542167901992798,1131.1148431301117,7526,bling-bling,192.168.0.125,1131.1148431301117,100,CrossEntropy,0.1,0.18600983281617206,2,1e-05,6,16,1,2,ce9bc_00112
31,0.00199290388263762,0.27080744955054703,0.30244173140954494,0.2451641925326136,1709339988,,False,100,ce9bc_00031,2024-03-01_16-39-48,8.252731561660767,890.1493299007416,7524,bling-bling,192.168.0.125,890.1493299007416,100,Focal,0.001,0.034934300613771015,1,1e-05,6,128,1,2,ce9bc_00031
78,0.056597646325826645,0.3889602158567255,0.30231978049388875,0.5452091767881242,1709344531,,False,100,ce9bc_00078,2024-03-01_17-55-31,9.264367818832397,934.7965784072876,7537,bling-bling,192.168.0.125,934.7965784072876,100,Focal,0.001,0.07233467998031025,2,1e-05,2,32,1,2,ce9bc_00078
11,0.19266606867313385,0.3130659820304775,0.30062111801242236,0.3265856950067476,1709338122,,False,100,ce9bc_00011,2024-03-01_16-08-42,9.399268388748169,951.8363058567047,7545,bling-bling,192.168.0.125,951.8363058567047,100,CrossEntropy,0.01,0.19401206058023687,1,1e-05,2,128,1,2,ce9bc_00011
62,0.03916771709918976,0.3448143817017142,0.30003330003330003,0.4053081421502474,1709343296,,False,100,ce9bc_00062,2024-03-01_17-34-56,10.62563180923462,1075.9200232028961,7524,bling-bling,192.168.0.125,1075.9200232028961,100,Focal,0.01,0.16591876432123395,1,1e-05,4,32,1,2,ce9bc_00062
20,0.058763694018125534,0.3839689830395064,0.2996216897856242,0.5344129554655871,1709339116,,False,100,ce9bc_00020,2024-03-01_16-25-16,10.827380895614624,979.7648270130157,7530,bling-bling,192.168.0.125,979.7648270130157,100,Focal,0.1,0.12275872604975352,1,1e-05,2,16,1,2,ce9bc_00020
123,0.6697856187820435,0.3713555038393337,0.2990115321252059,0.4898785425101215,1709348468,,False,100,ce9bc_00123,2024-03-01_19-01-08,10.273515224456787,1024.0525650978088,7535,bling-bling,192.168.0.125,1024.0525650978088,100,CrossEntropy,0.001,0.022900332981007677,2,1e-05,4,128,1,2,ce9bc_00123
107,0.669824481010437,0.39575435296137706,0.2984903934126258,0.5870445344129555,1709346364,,False,100,ce9bc_00107,2024-03-01_18-26-04,7.882112264633179,847.7575032711029,7545,bling-bling,192.168.0.125,847.7575032711029,100,CrossEntropy,0.01,0.15135467657006668,2,1e-05,6,128,1,2,ce9bc_00107
134,0.057177018374204636,0.3720142221141633,0.29836956521739133,0.4939271255060729,1709349222,,False,100,ce9bc_00134,2024-03-01_19-13-42,8.8970627784729,1015.9551610946655,7545,bling-bling,192.168.0.125,1015.9551610946655,100,Focal,0.01,0.1886390310785913,2,1e-05,4,32,1,2,ce9bc_00134
3,0.00921237375587225,0.26233634764082986,0.2978845054316752,0.23436797121007646,1709338121,,False,100,ce9bc_00003,2024-03-01_16-08-41,9.434821128845215,950.3872411251068,7526,bling-bling,192.168.0.125,950.3872411251068,100,CrossEntropy,0.001,0.12013303835521029,1,1e-05,2,128,1,2,ce9bc_00003
9,0.25185227394104004,0.3148069590309561,0.2978723404255319,0.33378317588843903,1709338129,,False,100,ce9bc_00009,2024-03-01_16-08-49,9.405936002731323,958.0414552688599,7537,bling-bling,192.168.0.125,958.0414552688599,100,CrossEntropy,0.01,0.14190644298141306,1,1e-05,2,64,1,2,ce9bc_00009
113,0.6223291158676147,0.3493774354142065,0.2976567447751742,0.4228520017993702,1709347484,,False,100,ce9bc_00113,2024-03-01_18-44-44,10.615905046463013,1131.4769735336304,7538,bling-bling,192.168.0.125,1131.4769735336304,100,CrossEntropy,0.1,0.16181595553331898,2,1e-05,6,64,1,2,ce9bc_00113
7,1.4723982530995272e-06,0.24690707216480445,0.29758883248730966,0.2109761583445794,1709338135,,False,100,ce9bc_00007,2024-03-01_16-08-55,9.34958267211914,964.8491055965424,7530,bling-bling,192.168.0.125,964.8491055965424,100,Focal,0.001,0.1733690530092121,1,1e-05,2,128,1,2,ce9bc_00007
8,0.508145809173584,0.33856284827099054,0.2972789115646258,0.39316239316239315,1709338126,,False,100,ce9bc_00008,2024-03-01_16-08-46,9.422364234924316,955.9549691677094,7535,bling-bling,192.168.0.125,955.9549691677094,100,CrossEntropy,0.01,0.12062188733689856,1,1e-05,2,16,1,2,ce9bc_00008
17,0.6832632422447205,0.3642683264484077,0.29679977343528746,0.47143499775078723,1709339089,,False,100,ce9bc_00017,2024-03-01_16-24-49,9.603318452835083,961.7144701480865,7538,bling-bling,192.168.0.125,961.7144701480865,100,CrossEntropy,0.1,0.10542652989481534,1,1e-05,2,64,1,2,ce9bc_00017
121,0.6725108623504639,0.37099493142924245,0.29673590504451036,0.4948268106162843,1709348158,,False,100,ce9bc_00121,2024-03-01_18-55-58,10.025807857513428,1016.3436818122864,7524,bling-bling,192.168.0.125,1016.3436818122864,100,CrossEntropy,0.001,0.17932216868477516,2,1e-05,4,64,1,2,ce9bc_00121
143,0.054782766848802567,0.4034000960991352,0.29673590504451036,0.6297795771479981,1709349559,,False,100,ce9bc_00143,2024-03-01_19-19-19,2.7862467765808105,769.9765553474426,7529,bling-bling,192.168.0.125,769.9765553474426,100,Focal,0.1,0.060874783653537164,2,1e-05,4,128,1,2,ce9bc_00143
65,0.6945180892944336,0.36255469325075623,0.29667812142038946,0.4660368870895187,1709343307,,False,100,ce9bc_00065,2024-03-01_17-35-07,10.187702417373657,1064.7070722579956,7530,bling-bling,192.168.0.125,1064.7070722579956,100,CrossEntropy,0.1,0.10899652054849145,1,1e-05,4,64,1,2,ce9bc_00065
